VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalestoPurchaseRatio
480,BACARDI USA INC,3857,Grey Goose Vodka,38.27,49.99,1750.0,33388.0,1277758.7560386658,32945.0,1699669.5755653381,589137.8088340759,60533.43021142483,89286.26965904236,421910.81952667236,24.82310830246743,0.9867317599137415,1.3301959916398374
8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,19.52,24.99,1750.0,61936.0,1208990.7202262878,61323.0,1528730.2640533447,392353.5364189148,112669.44993710518,18544.49001264572,319739.5438270569,20.915366912360653,0.9901026866442779,1.2644681538723563
480,BACARDI USA INC,126,Grey Goose Vodka,20.14,32.99,1000.0,59878.0,1205942.9073181152,58013.0,1736610.8761577606,294049.4969711304,60913.64952874184,89286.26965904236,530667.9688396454,30.55767852921344,0.9688533351147333,1.440044023327599
12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,11.76,16.99,1750.0,101480.0,1193404.7976894379,98938.0,1624366.614665985,306439.93574142456,181782.12906074524,123880.96989059448,430961.81697654724,26.531068361384968,0.9749507292077256,1.3611195612846005
12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,12.21,16.99,1750.0,97473.0,1190145.3301534653,94960.0,1554498.3957653046,307670.1957244873,174471.92937004566,123880.96989059448,364353.0656118393,23.43862602910326,0.9742185015337581,1.3061416588214962
7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,19.69,25.99,1750.0,59088.0,1163442.720855713,58610.0,1549701.8937568665,431497.8062877655,107685.03007793427,38994.7800655365,386259.17290115356,24.924740329558762,0.9919103709721094,1.3319967248727635
480,BACARDI USA INC,4243,Bacardi Superior Rum,14.49,19.99,1750.0,76389.0,1106876.6102237701,77041.0,1657809.5785770416,342678.84640312195,141551.6093479395,89286.26965904236,550932.9683532715,33.232584457990484,1.0085352603123487,1.497736570873869
8112,MOET HENNESSY USA INC,6654,Veuve Clicquot Brut Yellow,27.2,39.99,750.0,40380.0,1098335.9978103638,38506.0,1584665.423751831,349562.07231903076,4316.360008180141,48347.26006126404,486329.4259414673,30.689722805337716,0.9535908865775137,1.4427874775214604
3960,DIAGEO NORTH AMERICA INC,8512,Baileys Irish Cream,14.72,19.99,750.0,72952.0,1073853.4353542328,73122.0,1456174.7692584991,340626.12608909607,57570.6904104352,257032.06952285767,382321.33390426636,26.25518186247306,1.0023302993749315,1.3560274813277007
7245,PROXIMO SPIRITS INC.,3802,Three Olives Vodka,13.43,18.99,1750.0,77066.0,1034996.3861923218,74722.0,1408627.7702388763,331726.6260547638,137288.57953369617,38994.7800655365,373631.38404655457,26.52449369099076,0.9695845119767472,1.3609977667855613
11567,CAMPARI AMERICA,3826,Skyy Vodka,15.74,19.99,1750.0,65382.0,1029112.677406311,64388.0,1327401.1101016998,352821.77614974976,118298.36998164654,20964.810007333755,298288.4326953888,22.47161241808327,0.9847970389403812,1.2898501196653898
8112,MOET HENNESSY USA INC,42188,Moet & Chandon Nectar Imp Rs,34.01,52.99,750.0,29829.0,1014484.2803382874,29498.0,1533634.5221939087,132343.6742515564,3314.2300087809563,48347.26006126404,519150.24185562134,33.85097520581122,0.9889034161386571,1.5117380839873702
17035,PERNOD RICARD USA,3423,Beefeater,21.25,26.99,1750.0,46163.0,980963.75,44762.0,1177834.3755226135,367508.00681877136,82244.16016030312,123780.22020339966,196870.62552261353,16.71462725268658,0.9696510192145225,1.2006910301452154
8004,SAZERAC CO INC,5138,Fireball Cinnamon Whisky,11.1,13.99,750.0,87954.0,976289.3988342285,84289.0,1174428.3579025269,257643.30580711365,66360.95050489902,50293.61984348297,198138.95906829834,16.871097988655954,0.9583304909384451,1.2029510504824623
17035,PERNOD RICARD USA,5734,Malibu Rum,15.82,21.99,1750.0,61639.0,975128.9790649414,60102.0,1293182.9718055725,315290.17666244507,110429.44998264313,123780.22020339966,318053.9927406311,24.594662911200928,0.9750644883920895,1.3261660760462841
480,BACARDI USA INC,4227,Bacardi Superior Rum Trav,14.17,17.99,1750.0,68294.0,967725.9779415131,75147.0,1323223.5265464783,177578.64770317078,138074.08901643753,89286.26965904236,355497.5486049652,26.866023878277705,1.100345564764108,1.3673535243532033
4425,MARTIGNETTI COMPANIES,3505,Tito's Handmade Vodka,13.76,18.99,750.0,69299.0,953554.2405147552,70603.0,1355204.9581375122,331321.58607673645,55584.91040992737,144929.24016594887,401650.71762275696,29.637636374556532,1.0188170103464695,1.4212143374308048
